User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Last_login,Member_since,Number_of_Comments_in_public_forum,Time_spent_chating_H:M,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Friends_ID_list,Risk
10386,male,"34,6",A,Non_Verified,Homosexual,Switch,Men,50,before_10_days,17.9.2012,32,00:02,0,0,0,18260,No_risk
14,male,"32,2",J,Non_Verified,Heterosexual,Dominant,Women,518,before_1_days,1.11.2009,710,03:45,9,0,0,"11,778,320,244,376,800,000,000,000,000,000,000",No_risk
16721,male,"33,6",K,Non_Verified,Heterosexual,Dominant,Women,150,before_3_days,1.4.2013,25,02:15,1,1,45,"198,052,172,119,802",No_risk
16957,male,34,H,Non_Verified,Heterosexual,Dominant,Women,114,before_4_days,8.4.2013,107,359:22:00,1,0,1,"408,473,818,395,074,000,000,000,000,000,000,000,000,000,000,000,000,000,000",No_risk
17125,male,"39,5",B,Non_Verified,Heterosexual,Dominant,Women,497,before_5_days,14.4.2013,600,00:21,0,6,8,"132,035,739,342,311,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",No_risk
17220,female,"47,8",A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,127,before_1_days,19.4.2013,159,1 436:52,1,9,0,"231,782,203,395,473,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",No_risk
1726,male,"36,7",B,Non_Verified,bicurious,Submisive,Women,18,before_1_days,16.10.2010,1,122:20:00,17,0,0,,No_risk
1750,male,51,L,Non_Verified,Heterosexual,Dominant,Nobody,38,before_9_days,22.10.2010,91,00:05,0,0,2,28050,No_risk
18162,female,"29,5",A,Non_Verified,bicurious,Submisive,Nobody_but_maybe,150,before_4_days,23.5.2013,278,84:19:00,0,3,4,"116,501,560,821,357,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",No_risk
18820,male,28,J,Non_Verified,Heterosexual,Switch,Women,-26,before_1_days,12.6.2013,4,03:23,0,0,0,"403,512,414,843,311",No_risk
19437,male,"42,9",A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,15,before_1_days,7.7.2013,0,02:02,0,0,0,"32,531,382,012,437,700,000",No_risk
19732,female,"45,4",A,Non_Verified,Heterosexual,Submisive,Nobody,36,before_3_days,17.7.2013,47,331:18:00,0,11,0,"24,922,477,952,207,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",No_risk
19781,male,"36,1",F,Non_Verified,Heterosexual,Switch,Women,30,before_1_days,19.7.2013,0,139:53:00,0,0,0,"2,768,730,821",No_risk
19805,male,42,H,Verified,Heterosexual,Dominant,Nobody_but_maybe,313,before_1_days,20.7.2013,51,508:08:00,0,5,0,"293,623,375,522,397,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",No_risk
19990,male,"36,8",E,Non_Verified,Heterosexual,Submisive,Women,0,before_62_days,28.7.2013,0,45:24:00,0,0,0,,No_risk
20926,male,"30,9",A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,15,before_1_days,2.9.2013,0,10:41,0,0,0,,No_risk
21471,male,"33,9",B,Verified,Heterosexual,Dominant,Women,155,before_3_days,26.9.2013,59,00:00,1,0,0,32494,No_risk
22458,female,"48,6",L,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,236,before_1_days,5.11.2013,501,00:00,0,0,25,,No_risk
24160,male,"56,2",K,Non_Verified,Heterosexual,Submisive,Women,60,before_315_days,10.1.2014,68,115:34:00,2,0,0,"247,072,336",No_risk
25379,male,"35,3",A,Non_Verified,Heterosexual,Submisive,Women,18,before_6_days,4.3.2014,3,03:25,1,0,0,,No_risk
27804,female,"23,8",B,Non_Verified,bisexual,Submisive,Nobody,29,before_3_days,24.6.2014,247,01:25,0,0,5,8696,No_risk
27813,male,"35,3",A,Non_Verified,Heterosexual,Submisive,Nobody,0,before_15_days,24.6.2014,0,03:20,0,0,0,,No_risk
3030,male,"36,7",A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,564,before_1_days,14.6.2011,845,00:04,0,0,0,32032,No_risk
31596,male,"39,3",K,Verified,Heterosexual,Dominant,Nobody_but_maybe,296,before_57_days,29.11.2014,355,20:59,0,0,0,"294,171,728,220,332",No_risk
31627,male,"47,3",L,Non_Verified,Heterosexual,Dominant,Women,66,before_386_days,30.11.2014,166,00:00,0,0,0,,No_risk
31698,female,"29,7",A,Verified,bicurious,Submisive,Nobody,404,before_1_days,3.12.2014,332,09:39,0,3,11,"294,174,225,939,854,000,000,000,000,000,000,000,000,000,000,000,000,000",No_risk
3377,male,"50,8",F,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,20,before_212_days,16.8.2011,42,00:01,1,0,0,,No_risk
34759,male,"26,8",C,Non_Verified,Heterosexual,Dominant,Women,0,before_1_days,20.4.2015,0,38:24:00,0,0,0,42882,No_risk
34980,female,"31,3",A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,0,before_725_days,4.5.2015,0,00:00,0,0,0,,No_risk
35266,male,"39,2",M,Non_Verified,Heterosexual,Switch,Women,0,before_11_days,20.5.2015,0,00:00,0,0,0,,No_risk
37385,male,"35,6",C,Verified,Heterosexual,Switch,Women,195,before_1_days,9.9.2015,168,2 272:30,2,4,3,"3,717,031,150,203,320,000",No_risk
37521,male,62,O,Non_Verified,Heterosexual,Switch,Women,56,before_1_days,17.9.2015,43,15:05,0,2,0,"2,513,943,995,355,550,000,000,000",No_risk
3987,male,"28,1",L,Verified,Heterosexual,Switch,Women,226,before_9_days,17.11.2011,73,00:00,0,0,2,,No_risk
40412,male,"24,6",E,Non_Verified,Heterosexual,Submisive,Nobody,0,before_4_days,27.2.2016,0,00:00,0,0,0,,No_risk
42646,male,"22,1",E,Verified,Heterosexual,Switch,Women,90,before_1_days,2.7.2016,2,00:00,0,0,1,42074,No_risk
43605,female,"24,9",H,Non_Verified,bisexual,Switch,Men_and_Women,78,before_3_days,23.8.2016,62,105:04:00,0,0,10,"44,736,189,962,773,300,000",No_risk
43656,male,"54,3",L,Non_Verified,bisexual,Dominant,Women,32,before_3_days,26.8.2016,4,00:00,0,0,6,,No_risk
44151,male,"29,9",G,Non_Verified,Heterosexual,Switch,,58,before_5_days,19.9.2016,36,00:00,2,0,3,,No_risk
45230,male,"24,5",E,Non_Verified,Heterosexual,Switch,Women,15,before_1_days,13.11.2016,0,03:16,1,0,0,"3,818,346,745,411,180,000,000,000",No_risk
45884,female,"26,4",J,Non_Verified,bisexual,Submisive,Nobody,83,before_1_days,20.12.2016,66,00:42,0,0,7,"48420,45919,43254,14",No_risk
46195,female,"28,6",B,Verified,Heterosexual,Submisive,Nobody_but_maybe,124,before_1_days,5.1.2017,57,120:47:00,0,0,1,"477,954,802,630,039,000,000,000",No_risk
46629,male,"24,6",E,Non_Verified,Heterosexual,Dominant,Nobody,0,before_1_days,25.1.2017,0,00:00,0,0,0,"4,685,243,140",No_risk
46681,male,"42,6",E,Non_Verified,Heterosexual,Switch,Women,0,before_30_days,28.1.2017,0,00:31,0,0,0,,No_risk
46911,female,"20,7",B,Non_Verified,Heterosexual,Submisive,Nobody,29,before_3_days,9.2.2017,17,00:19,0,0,1,"41,627,177,931,077,400,000,000,000,000,000,000,000,000,000",No_risk
47601,male,"40,4",L,Non_Verified,Heterosexual,Switch,Women,32,before_16_days,15.3.2017,47,00:16,0,0,0,25977,No_risk
47917,male,"35,5",B,Non_Verified,Heterosexual,Dominant,Women,0,before_3_days,29.3.2017,0,00:25,0,0,0,,No_risk
48294,male,24,A,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,10,before_1_days,15.4.2017,8,00:00,0,0,2,,No_risk
6035,male,"52,3",A,Non_Verified,Heterosexual,Submisive,Women,114,before_1_days,2.7.2012,120,06:46,1,0,0,,No_risk
6065,male,"47,2",F,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,93,before_1_days,2.7.2012,78,00:26,0,0,16,"62,333,061,530,739",No_risk
6163,male,"31,4",C,Non_Verified,Heterosexual,Dominant,Nobody,19,before_1_days,3.7.2012,7,445:42:00,0,0,0,"175,153,947,131,540,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",No_risk
6418,male,41,F,Non_Verified,Heterosexual,Submisive,Women,0,before_1_days,5.7.2012,34,04:50,2,0,0,,No_risk
